tag_name,LAT_y,LON_x,UTM_x,UTM_y,DateTime
8218582,74.50315636,-20.47296625,8268243,515718,11/07/2019 20:16
8218572,74.4676043,-20.61549516,8264244,511493,13/07/2019 22:35
8218553,74.48153465,-20.47974317,8265829,515537,18/07/2019 19:15
8218556,74.50523491,-20.42899884,8268487,517027,20/07/2019 23:38
8218581,74.49745697,-20.46229489,8267610,516042,27/07/2019 13:03
