NDSI,Date,doy,lat,lon
0.3385894,2022-03-15 12:00:00,73,74.5395833266618,-20.686986444453748
0.3385894,2022-03-15 12:00:00,73,74.5395833266618,-20.671355929573103
0.3538167,2022-03-15 12:00:00,73,74.5395833266618,-20.655725414692338
0.37104243,2022-03-15 12:00:00,73,74.5395833266618,-20.640094899811576
0.34330484,2022-03-15 12:00:00,73,74.5395833266618,-20.624464384930803
0.3461269,2022-03-15 12:00:00,73,74.5395833266618,-20.608833870050162
0.29091018,2022-03-15 12:00:00,73,74.5395833266618,-20.5932033551694
0.32545793,2022-03-15 12:00:00,73,74.5395833266618,-20.57757284028863
0.2984855,2022-03-15 12:00:00,73,74.5395833266618,-20.561942325407866
0.342522,2022-03-15 12:00:00,73,74.5395833266618,-20.5463118105271
0.43252912,2022-03-15 12:00:00,73,74.5395833266618,-20.53068129564646
0.48685575,2022-03-15 12:00:00,73,74.5395833266618,-20.515050780765694
0.5439053,2022-03-15 12:00:00,73,74.5395833266618,-20.499420265884925
0.53950065,2022-03-15 12:00:00,73,74.5395833266618,-20.48378975100416
0.40930414,2022-03-15 12:00:00,73,74.5395833266618,-20.46815923612352
0.6982131,2022-03-15 12:00:00,73,74.5395833266618,-20.452528721242754
0.68549323,2022-03-15 12:00:00,73,74.5395833266618,-20.436898206361988
0.67746556,2022-03-15 12:00:00,73,74.5395833266618,-20.42126769148122
0.75868523,2022-03-15 12:00:00,73,74.5395833266618,-20.405637176600578
0.75868523,2022-03-15 12:00:00,73,74.5395833266618,-20.390006661719813
0.8103103,2022-03-15 12:00:00,73,74.5395833266618,-20.343115117077513
0.39202657,2022-03-15 12:00:00,73,74.5354166599955,-20.69717505417193
0.31072718,2022-03-15 12:00:00,73,74.5354166599955,-20.681548647939834
0.3151827,2022-03-15 12:00:00,73,74.5354166599955,-20.66592224170786
0.36108452,2022-03-15 12:00:00,73,74.5354166599955,-20.650295835475767
0.36108452,2022-03-15 12:00:00,73,74.5354166599955,-20.63466942924367
0.34330484,2022-03-15 12:00:00,73,74.5354166599955,-20.61904302301157
0.31068406,2022-03-15 12:00:00,73,74.5354166599955,-20.6034166167796
0.31068406,2022-03-15 12:00:00,73,74.5354166599955,-20.587790210547503
0.32545793,2022-03-15 12:00:00,73,74.5354166599955,-20.572163804315405
0.3940678,2022-03-15 12:00:00,73,74.5354166599955,-20.556537398083307
0.38281986,2022-03-15 12:00:00,73,74.5354166599955,-20.540910991851213
0.43252912,2022-03-15 12:00:00,73,74.5354166599955,-20.525284585619243
0.45950314,2022-03-15 12:00:00,73,74.5354166599955,-20.509658179387145
0.407329,2022-03-15 12:00:00,73,74.5354166599955,-20.494031773155047
0.501891,2022-03-15 12:00:00,73,74.5354166599955,-20.47840536692295
0.5108621,2022-03-15 12:00:00,73,74.5354166599955,-20.462778960690976
0.6982131,2022-03-15 12:00:00,73,74.5354166599955,-20.44715255445888
0.64389116,2022-03-15 12:00:00,73,74.5354166599955,-20.431526148226784
0.6982505,2022-03-15 12:00:00,73,74.5354166599955,-20.41589974199469
0.69533813,2022-03-15 12:00:00,73,74.5354166599955,-20.400273335762716
0.8961814,2022-03-15 12:00:00,73,74.5354166599955,-20.38464692953062
0.31053445,2022-03-15 12:00:00,73,74.53124999332921,-20.691736118583353
0.28680295,2022-03-15 12:00:00,73,74.53124999332921,-20.676113818757894
0.28680295,2022-03-15 12:00:00,73,74.53124999332921,-20.660491518932552
0.38227886,2022-03-15 12:00:00,73,74.53124999332921,-20.644869219107093
0.3643827,2022-03-15 12:00:00,73,74.53124999332921,-20.629246919281634
0.2281875,2022-03-15 12:00:00,73,74.53124999332921,-20.613624619456168
0.22947547,2022-03-15 12:00:00,73,74.53124999332921,-20.598002319630837
0.38340166,2022-03-15 12:00:00,73,74.53124999332921,-20.582380019805374
0.38918093,2022-03-15 12:00:00,73,74.53124999332921,-20.56675771997991
0.38918093,2022-03-15 12:00:00,73,74.53124999332921,-20.551135420154452
0.38281986,2022-03-15 12:00:00,73,74.53124999332921,-20.53551312032899
0.33867636,2022-03-15 12:00:00,73,74.53124999332921,-20.519890820503655
0.2949688,2022-03-15 12:00:00,73,74.53124999332921,-20.504268520678192
0.407329,2022-03-15 12:00:00,73,74.53124999332921,-20.48864622085273
0.38080543,2022-03-15 12:00:00,73,74.53124999332921,-20.47302392102727
0.38080543,2022-03-15 12:00:00,73,74.53124999332921,-20.45740162120193
0.59851617,2022-03-15 12:00:00,73,74.53124999332921,-20.441779321376472
0.59851617,2022-03-15 12:00:00,73,74.53124999332921,-20.426157021551013
0.70806015,2022-03-15 12:00:00,73,74.53124999332921,-20.410534721725547
0.7539023,2022-03-15 12:00:00,73,74.53124999332921,-20.394912421900212
0.87299806,2022-03-15 12:00:00,73,74.53124999332921,-20.379290122074753
0.46441785,2022-03-15 12:00:00,73,74.52708332666292,-20.686300150170805
0.6495017,2022-03-15 12:00:00,73,74.52708332666292,-20.670681954511753
0.40054366,2022-03-15 12:00:00,73,74.52708332666292,-20.655063758852826
0.3789601,2022-03-15 12:00:00,73,74.52708332666292,-20.639445563193778
0.3789601,2022-03-15 12:00:00,73,74.52708332666292,-20.623827367534734
0.24978942,2022-03-15 12:00:00,73,74.52708332666292,-20.60820917187568
0.26859975,2022-03-15 12:00:00,73,74.52708332666292,-20.592590976216755
0.31303743,2022-03-15 12:00:00,73,74.52708332666292,-20.576972780557707
0.30489025,2022-03-15 12:00:00,73,74.52708332666292,-20.561354584898655
0.3308347,2022-03-15 12:00:00,73,74.52708332666292,-20.545736389239607
