pixel_ID,doy_snowmelt
74.49792_-20.47685,156.680213243729
74.49792_-20.46126,162.913708171125
74.49792_-20.44567,163.796823352555
74.49792_-20.43008,164.67071049372
74.49792_-20.41449,164.67071049372
74.49792_-20.39890,165.46678229899
74.49792_-20.38331,161.178196507886
74.49792_-20.36772,159.498288409732
74.49792_-20.35213,159.464529345033
74.49375_-20.58058,157.86880733086
74.49375_-20.56499,157.86880733086
74.49375_-20.54941,157.935946067435
74.49375_-20.53382,156.845302069949
74.49375_-20.51824,158.190572061505
74.49375_-20.50265,158.944271116603
74.49375_-20.48706,157.980623896685
74.49375_-20.47148,161.52592735759
74.49375_-20.45589,168.595267466237
74.49375_-20.44031,167.812693988443
74.49375_-20.42472,164.882552351715
74.49375_-20.40914,164.231967224687
74.49375_-20.39355,164.18725836916
74.49375_-20.37797,162.782938678798
74.48958_-20.57518,156.096209406036
74.48958_-20.55960,157.572743784397
74.48958_-20.54402,158.096932745411
74.48958_-20.52844,157.438207861074
74.48958_-20.51286,158.421879627825
74.48958_-20.49728,158.948743657838
74.48958_-20.48170,158.948743657838
74.48958_-20.46611,163.823329269764
74.48958_-20.45053,164.945215111175
74.48958_-20.43495,168.263413708513
74.48958_-20.41937,162.749447930939
74.48958_-20.40379,157.774340871588
74.48958_-20.38821,161.379282003941
74.48958_-20.37263,160.239949990315
74.48542_-20.56979,155.189794927099
74.48542_-20.55422,157.101471858652
74.48542_-20.53864,157.747358609686
74.48542_-20.52306,157.012659427441
74.48542_-20.50748,159.319195388055
74.48542_-20.49191,159.723121101118
74.48542_-20.47633,161.614625227309
74.48542_-20.46075,165.356715616257
74.48542_-20.44518,165.944179829944
74.48542_-20.42960,169.391586837889
74.48542_-20.41402,169.391586837889
74.48542_-20.39844,157.55497702454
74.48542_-20.38287,160.513770915726
74.48125_-20.59555,156.137417167947
74.48125_-20.57998,154.449470442414
74.48125_-20.56441,156.722043023209
74.48125_-20.54883,156.722043023209
74.48125_-20.53326,159.295165493608
74.48125_-20.51769,159.144284962823
74.48125_-20.50211,159.851533540461
74.48125_-20.48654,160.935136528684
74.48125_-20.47097,164.553083018651
74.48125_-20.45539,165.170959121793
74.48125_-20.43982,165.876513494144
74.48125_-20.42425,164.682241632611
74.48125_-20.40867,161.876867320096
74.48125_-20.39310,161.935496519336
74.47708_-20.60573,157.545827880967
74.47708_-20.59016,158.415378489173
74.47708_-20.57459,157.455834067645
74.47708_-20.55902,156.670956419312
74.47708_-20.54345,160.472063453398
74.47708_-20.52788,160.775920736794
74.47708_-20.51232,160.500622362094
74.47708_-20.49675,159.894698695602
74.47708_-20.48118,159.894698695602
74.47708_-20.46561,162.971771744522
74.47708_-20.45004,164.571821128886
74.47708_-20.43447,162.420027463734
74.47708_-20.41890,161.680438389659
74.47708_-20.40333,159.137745845928
74.47708_-20.38776,160.897768060475
74.47292_-20.61590,152.937544065865
74.47292_-20.60034,156.803896191966
74.47292_-20.58477,160.698667648004
74.47292_-20.56921,156.313263295105
74.47292_-20.55364,157.743284025125
