pixel_ID,doy_snowmelt
74.48958_-20.48170,159.735895716692
74.48958_-20.46611,163.823329269764
74.48958_-20.45053,164.945215111175
74.48958_-20.43495,168.263413708513
74.48958_-20.41937,162.749447930939
74.48958_-20.40379,157.774340871588
74.48958_-20.38821,161.379282003941
74.48958_-20.37263,160.239949990315
74.48958_-20.35705,165.659659483164
74.48958_-20.34146,164.024887502524
74.48542_-20.69441,162.199728158236
74.48542_-20.67883,153.889438518882
74.48542_-20.66326,143.141071333434
74.48542_-20.64768,146.384391406674
74.48542_-20.63210,153.396887083999
74.48542_-20.60095,153.534749037712
74.48542_-20.58537,153.454339915229
74.48542_-20.56979,155.189794927099
74.48542_-20.55422,157.101471858652
74.48542_-20.53864,157.747358609686
74.48542_-20.52306,157.012659427441
74.48542_-20.50748,159.319195388055
74.48542_-20.49191,159.723121101118
74.48542_-20.47633,161.614625227309
74.48542_-20.46075,165.356715616257
74.48542_-20.44518,165.944179829944
74.48542_-20.42960,169.391586837889
74.48542_-20.41402,166.2848405102
74.48542_-20.39844,157.55497702454
74.48542_-20.38287,160.513770915726
74.48542_-20.36729,163.897643831817
74.48542_-20.35171,160.342747796917
74.48125_-20.68899,154.275691522073
74.48125_-20.67342,154.785650833726
74.48125_-20.65785,148.850166376593
74.48125_-20.64227,151.869826181546
74.48125_-20.62670,153.757298045822
74.48125_-20.61113,158.125618356645
74.48125_-20.59555,156.137417167947
74.48125_-20.57998,154.449470442414
74.48125_-20.56441,156.722043023209
74.48125_-20.54883,159.411313551959
74.48125_-20.53326,159.295165493608
74.48125_-20.51769,159.144284962823
74.48125_-20.50211,159.851533540461
74.48125_-20.48654,160.935136528684
74.48125_-20.47097,164.553083018651
74.48125_-20.45539,165.170959121793
74.48125_-20.43982,165.876513494144
74.48125_-20.42425,164.682241632611
74.48125_-20.40867,161.876867320096
74.48125_-20.39310,161.935496519336
74.48125_-20.37753,159.830443731534
74.48125_-20.36196,158.994369548144
74.48125_-20.34638,158.1812476196
74.47708_-20.69914,155.718252300492
74.47708_-20.68358,150.971855537667
74.47708_-20.66801,154.27274626829
74.47708_-20.65244,152.88555491179
74.47708_-20.63687,151.290766396023
74.47708_-20.62130,153.996438091184
74.47708_-20.60573,157.545827880967
74.47708_-20.59016,158.415378489173
74.47708_-20.57459,157.455834067645
74.47708_-20.55902,156.670956419312
74.47708_-20.54345,160.472063453398
74.47708_-20.52788,160.775920736794
74.47708_-20.51232,160.500622362094
74.47708_-20.49675,159.894698695602
74.47708_-20.48118,160.351042526641
74.47708_-20.46561,162.971771744522
74.47708_-20.45004,164.571821128886
74.47708_-20.43447,162.420027463734
74.47708_-20.41890,161.680438389659
74.47708_-20.40333,159.137745845928
74.47708_-20.38776,160.897768060475
74.47708_-20.37219,160.448001852466
74.47708_-20.35662,159.11179335677
74.47708_-20.34105,161.437185168371
74.47292_-20.69373,159.845901220974
74.47292_-20.67816,156.34508566149
74.47292_-20.66260,157.093218577026
74.47292_-20.64703,154.595692593164
74.47292_-20.63147,152.937544065865
74.47292_-20.61590,153.318140140582
74.47292_-20.60034,156.803896191966
74.47292_-20.58477,160.698667648004
74.47292_-20.56921,156.313263295105
74.47292_-20.55364,157.743284025125
74.47292_-20.53808,160.557012231298
74.47292_-20.52251,160.616923393642
74.47292_-20.50695,161.245482721174
